prot	method	featset	metric	val.max
P29597	XGBOOST	linear	Recall	1
P30530	NAIVE	boruta	Recall	1
P31749	SVM	linear	Recall	0.992592592592593
P31751	SVM	boruta	Recall	1
P35968	KNN	union	Recall	0.956989247311828
P36888	NAIVE	boruta	Recall	1
P36897	DECISION_TREE	boruta	Recall	1
P42336	XGBOOST	boruta	Recall	0.969072164948454
P42338	RANDOM_FOREST	union	Recall	0.978494623655914
P42345	SVM	boruta	Recall	0.997206703910615
P43405	KNN	boruta	Recall	1
P45983	SVM	linear	Recall	1
P45984	RIDGE	boruta	Recall	1
P48736	ELASTICNET	linear	Recall	0.944444444444444
P49137	LOGISTIC	boruta	Recall	1
P49759	DECISION_TREE	common	Recall	0.888888888888889
P49840	RANDOM_FOREST	boruta	Recall	1
P49841	KNN	union	Recall	0.951923076923077
P50750	NAIVE	boruta	Recall	1
P52333	RANDOM_FOREST	linear	Recall	1
P53350	DECISION_TREE	boruta	Recall	0.964285714285714
P53667	NEURALNET	linear	Recall	1
P53779	LASSO	linear	Recall	0.962962962962963
P68400	RANDOM_FOREST	boruta	Recall	1
Q02750	RIDGE	linear	Recall	1
Q02763	DECISION_TREE	boruta	Recall	1
Q04759	KNN	boruta	Recall	1
Q05397	KNN	linear	Recall	0.988095238095238
Q06187	SVM	boruta	Recall	1
Q06418	NAIVE	boruta	Recall	0.833333333333333
Q07912	NEURALNET	linear	Recall	0.9
Q08881	NEURALNET	boruta	Recall	1
Q13315	NEURALNET	boruta	Recall	1
Q13535	XGBOOST	boruta	Recall	1
Q13627	LASSO	linear	Recall	1
Q14164	NEURALNET	linear	Recall	1
Q16288	DECISION_TREE	boruta	Recall	1
Q16539	RANDOM_FOREST	boruta	Recall	0.991228070175439
Q5S007	SVM	boruta	Recall	1
Q96GD4	KNN	boruta	Recall	0.992700729927007
Q9NWZ3	RANDOM_FOREST	boruta	Recall	0.971428571428571
Q9P1W9	KNN	linear	Recall	0.993288590604027
Q9UM73	KNN	boruta	Recall	1
Q9Y243	LASSO	boruta	Recall	1
O00329	RIDGE	union	F1	0.964169381107492
O14757	LASSO	union	F1	0.965779467680608
O14920	RANDOM_FOREST	linear	F1	0.957746478873239
O14965	DECISION_TREE	union	F1	0.96
O15530	RANDOM_FOREST	boruta	F1	1
O60674	XGBOOST	union	F1	0.981912144702842
O75116	KNN	union	F1	0.97378277153558
O96017	NEURALNET	union	F1	0.984615384615385
P00519	RANDOM_FOREST	union	F1	0.96551724137931
P00533	XGBOOST	union	F1	0.934947049924357
P04049	SVM	union	F1	0.957746478873239
P04626	LASSO	union	F1	0.901408450704225
P04629	SVM	union	F1	0.931034482758621
P05771	LASSO	boruta	F1	0.976744186046512
P06213	RIDGE	linear	F1	1
P06239	SVM	union	F1	0.916666666666667
P06493	ELASTICNET	union	F1	0.933333333333333
P07333	RANDOM_FOREST	linear	F1	0.982857142857143
P07947	NEURALNET	boruta	F1	0.956521739130435
P07949	RIDGE	linear	F1	0.948717948717949
P08069	XGBOOST	linear	F1	0.98220640569395
P08581	SVM	linear	F1	0.975232198142415
P09619	XGBOOST	boruta	F1	0.948275862068965
P10398	CART	linear	F1	1
P10721	XGBOOST	union	F1	0.879310344827586
P11309	RIDGE	linear	F1	0.986784140969163
P11362	LASSO	union	F1	0.968253968253968
P11802	SVM	linear	F1	0.993197278911565
P12931	RANDOM_FOREST	union	F1	0.911627906976744
P15056	XGBOOST	linear	F1	0.953488372093023
P16234	SVM	linear	F1	0.884615384615385
P17948	RANDOM_FOREST	boruta	F1	0.933333333333333
P19784	RANDOM_FOREST	boruta	F1	1
P21802	NAIVE	linear	F1	0.997530864197531
P22455	XGBOOST	boruta	F1	0.995555555555556
P22607	RIDGE	linear	F1	0.986547085201794
P23458	RIDGE	linear	F1	0.993103448275862
P24941	XGBOOST	union	F1	0.929577464788732
P25098	NAIVE	linear	F1	1
P28482	XGBOOST	union	F1	0.995348837209302
P29597	XGBOOST	union	F1	0.980392156862745
P30530	CART	union	F1	1
P31749	SVM	linear	F1	0.971014492753623
P31751	RIDGE	union	F1	0.983870967741935
P35968	SVM	linear	F1	0.933510638297872
P36888	SVM	linear	F1	0.971887550200803
P36897	XGBOOST	union	F1	0.992
P42336	XGBOOST	boruta	F1	0.959183673469388
P42338	XGBOOST	linear	F1	0.972972972972973
P42345	SVM	union	F1	0.991666666666667
P43405	RIDGE	linear	F1	0.985446985446986
P45983	SVM	linear	F1	0.97029702970297
P45984	DECISION_TREE	union	F1	0.888888888888889
P48736	RIDGE	union	F1	0.930555555555556
P49137	ELASTICNET	boruta	F1	0.952380952380952
P49759	XGBOOST	union	F1	0.842105263157895
P49840	XGBOOST	linear	F1	0.96969696969697
P49841	XGBOOST	boruta	F1	0.933333333333333
P50750	CART	linear	F1	0.989247311827957
P52333	SVM	union	F1	0.973871733966746
P53350	DECISION_TREE	boruta	F1	0.981818181818182
P53667	NEURALNET	boruta	F1	0.9
P53779	XGBOOST	boruta	F1	0.923076923076923
P68400	SVM	union	F1	0.99009900990099
Q02750	RIDGE	linear	F1	0.957446808510638
Q02763	XGBOOST	linear	F1	0.988505747126437
Q04759	ELASTICNET	union	F1	0.974358974358974
Q05397	RIDGE	linear	F1	0.976190476190476
Q06187	DECISION_TREE	linear	F1	0.981432360742706
Q06418	NAIVE	boruta	F1	0.869565217391304
Q07912	NEURALNET	linear	F1	0.947368421052632
Q08881	RIDGE	linear	F1	1
Q13315	LASSO	boruta	F1	0.952380952380952
Q13535	XGBOOST	boruta	F1	1
Q13627	LASSO	linear	F1	0.930232558139535
Q14164	NAIVE	boruta	F1	0.978723404255319
Q16288	DECISION_TREE	linear	F1	0.947368421052632
Q16539	DECISION_TREE	union	F1	0.969432314410481
Q5S007	KNN	linear	F1	0.955223880597015
Q96GD4	XGBOOST	union	F1	0.971223021582734
Q9NWZ3	KNN	common	F1	0.944444444444445
Q9P1W9	XGBOOST	union	F1	0.986486486486487
Q9UM73	RIDGE	linear	F1	0.981818181818182
Q9Y243	LASSO	linear	F1	1
O00329	RIDGE	union	Balanced.Accuracy	0.936117467581999
O14757	LASSO	union	Balanced.Accuracy	0.954716336295284
